    1 |   2 |   ::       | label_basic_block_1: s_mov_b64 s[20:21], exec
    2 |   2 |   ::       | s_wqm_b64 exec, exec
    3 |   2 |   ::       | s_mov_b32 s0, s1
    4 |   2 |   ::       | s_movk_i32 s1, 0x0000
    5 |   2 |   ::       | s_movk_i32 s3, 0x0000
    6 |   2 |   ::       | s_andn2_b32 s5, s5, 0x3fff0000
    7 |   2 |   ::       | s_buffer_load_dwordx4 s[4:7], s[4:7], 0x10
    8 |   2 |   ::       | s_waitcnt lgkmcnt(0)
    9 |   3 | ^ v:       | v_add_f32 v0, s4, v2
   10 |   3 | :^ :       | v_mov_b32 v1, s5
   11 |   3 | :x v       | v_mad_legacy_f32 v1, v3, s6, v1
   12 |   3 | ::^        | v_mov_b32 v2, 0xb58637bd
   13 |   3 | :::        | s_mov_b32 s4, 0x3a000008
   14 |   3 | v:x        | v_mac_f32 v2, s4, v0
   15 |   4 | :::^       | v_mov_b32 v3, 0xb60637bd
   16 |   4 | ::::       | s_mov_b32 s4, 0x3a000011
   17 |   4 | :v:x       | v_mac_f32 v3, s4, v1
   18 |   5 | ::::^      | v_mov_b32 v4, 0xb649539c
   19 |   5 | :::::      | s_mov_b32 s4, 0x3a000019
   20 |   5 | v:::x      | v_mac_f32 v4, s4, v0
   21 |   5 | ^::::      | v_mov_b32 v0, 0xb68637bd
   22 |   5 | :::::      | s_mov_b32 s4, 0x3a000022
   23 |   5 | xv:::      | v_mac_f32 v0, s4, v1
   24 |   5 | :^:::      | v_mov_b32 v1, 0x358637bd
   25 |   5 | :::::      | s_mov_b32 s4, 0x3f7ffff0
   26 |   5 | :xv::      | v_mac_f32 v1, s4, v2
   27 |   5 | ::^::      | v_mov_b32 v2, 0x360637bd
   28 |   5 | :::::      | s_mov_b32 s4, 0x3f7fffde
   29 |   5 | ::xv:      | v_mac_f32 v2, s4, v3
   30 |   5 | :::^:      | v_mov_b32 v3, 0x3649539c
   31 |   5 | :::::      | s_mov_b32 s4, 0x3f7fffce
   32 |   5 | :::xv      | v_mac_f32 v3, s4, v4
   33 |   5 | ::::^      | v_mov_b32 v4, 0x368637bd
   34 |   5 | :::::      | s_mov_b32 s4, 0x3f7fffbc
   35 |   5 | v:::x      | v_mac_f32 v4, s4, v0
   36 |   5 | ^v:v:      | v_add_f32 v0, v1, v3
   37 |   4 | :^v v      | v_add_f32 v1, v2, v4
   38 |   3 | ::^        | v_mov_b32 v2, 0
   39 |   4 | :::^       | v_mov_b32 v3, 0
   40 |   4 | ::::       | s_movk_i32 s4, 0x0000
   41 |   4 | ::::       | s_movk_i32 s5, 0x0010
   42 |   4 | ::::       | s_nop 0x0000
   43 |   4 | ::::       | s_nop 0x0000
   44 |   4 | ::::       | label_label_0040: s_cmp_gt_u32 s5, 0
   45 |   4 | ::::       | s_cbranch_scc0 label_0FF5
   46 |   4 | ::::       | label_basic_block_3: s_lshl_b32 s6, s4, 5
   47 |   4 | ::::       | s_load_dwordx8 s[8:15], s[0:1], s6
   48 |   4 | ::::       | s_lshl_b32 s6, s4, 4
   49 |   4 | ::::       | s_load_dwordx4 s[16:19], s[2:3], s6
   50 |   4 | ::::       | s_add_u32 s4, s4, 1
   51 |   4 | ::::       | s_sub_i32 s5, s5, 1
   52 |   4 | ::::       | s_waitcnt lgkmcnt(0)
   53 |   6 | vvvv^^     | image_sample v[4:5], v[0:3], s[8:15], s[16:19]
   54 |   6 | ::::::     | s_waitcnt vmcnt(0)
   55 |   6 | ::x:v:     | v_add_f32 v2, v2, v4
   56 |   5 | :::x v     | v_add_f32 v3, v3, v5
   57 |   5 | ::::^      | v_mov_b32 v4, 0xb58637bd
   58 |   5 | :::::      | s_mov_b32 s6, 0x3f800008
   59 |   6 | :::::^     | v_mov_b32 v5, 0xb60637bd
   60 |   6 | ::::::     | s_mov_b32 s7, 0x3f800011
   61 |   7 | ::::::^    | v_mov_b32 v6, 0xb649539c
   62 |   7 | :::::::    | s_mov_b32 s8, 0x3f800019
   63 |   8 | :::::::^   | v_mov_b32 v7, 0xb68637bd
   64 |   8 | ::::::::   | s_mov_b32 s9, 0x3f800022
   65 |   8 | ::v:x:::   | v_mac_f32 v4, s6, v2
   66 |   8 | :::v:x::   | v_mac_f32 v5, s7, v3
   67 |   8 | ::v:::x:   | v_mac_f32 v6, s8, v2
   68 |   7 | :: v:::x   | v_mac_f32 v7, s9, v3
   69 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
   70 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
   71 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
   72 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
   73 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
   74 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
   75 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
   76 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
   77 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
   78 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
   79 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
   80 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
   81 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
   82 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
   83 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
   84 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
   85 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
   86 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
   87 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
   88 |  10 | :::::::::: | s_mov_b32 s9, 0x3f800022
   89 |  10 | ::v:x::::: | v_mac_f32 v4, s6, v2
   90 |   9 | :: v:x:::: | v_mac_f32 v5, s7, v3
   91 |   8 | ::  ::x:v: | v_mac_f32 v6, s8, v8
   92 |   7 | ::  :::x v | v_mac_f32 v7, s9, v9
   93 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
   94 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
   95 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
   96 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
   97 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
   98 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
   99 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
  100 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
  101 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
  102 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
  103 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
  104 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
  105 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
  106 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
  107 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
  108 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
  109 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
  110 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
  111 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
  112 |  10 | :::::::::: | s_mov_b32 s9, 0x3f800022
  113 |  10 | ::v:x::::: | v_mac_f32 v4, s6, v2
  114 |   9 | :: v:x:::: | v_mac_f32 v5, s7, v3
  115 |   8 | ::  ::x:v: | v_mac_f32 v6, s8, v8
  116 |   7 | ::  :::x v | v_mac_f32 v7, s9, v9
  117 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
  118 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
  119 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
  120 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
  121 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
  122 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
  123 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
  124 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
  125 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
  126 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
  127 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
  128 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
  129 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
  130 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
  131 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
  132 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
  133 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
  134 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
  135 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
  136 |  10 | :::::::::: | s_mov_b32 s9, 0x3f800022
  137 |  10 | ::v:x::::: | v_mac_f32 v4, s6, v2
  138 |   9 | :: v:x:::: | v_mac_f32 v5, s7, v3
  139 |   8 | ::  ::x:v: | v_mac_f32 v6, s8, v8
  140 |   7 | ::  :::x v | v_mac_f32 v7, s9, v9
  141 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
  142 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
  143 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
  144 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
  145 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
  146 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
  147 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
  148 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
  149 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
  150 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
  151 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
  152 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
  153 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
  154 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
  155 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
  156 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
  157 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
  158 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
  159 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
  160 |  10 | :::::::::: | s_mov_b32 s9, 0x3f800022
  161 |  10 | ::v:x::::: | v_mac_f32 v4, s6, v2
  162 |   9 | :: v:x:::: | v_mac_f32 v5, s7, v3
  163 |   8 | ::  ::x:v: | v_mac_f32 v6, s8, v8
  164 |   7 | ::  :::x v | v_mac_f32 v7, s9, v9
  165 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
  166 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
  167 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
  168 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
  169 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
  170 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
  171 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
  172 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
  173 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
  174 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
  175 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
  176 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
  177 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
  178 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
  179 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
  180 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
  181 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
