    1 |   2 |   ::       | label_basic_block_1: s_mov_b64 s[20:21], exec
    2 |   2 |   ::       | s_wqm_b64 exec, exec
    3 |   2 |   ::       | s_mov_b32 s0, s1
    4 |   2 |   ::       | s_movk_i32 s1, 0x0000
    5 |   2 |   ::       | s_movk_i32 s3, 0x0000
    6 |   2 |   ::       | s_buffer_load_dwordx4 s[4:7], s[4:7], 0x04
    7 |   2 |   ::       | s_waitcnt lgkmcnt(0)
    8 |   3 | ^ v:       | v_add_f32 v0, s4, v2
    9 |   3 | :^ :       | v_mov_b32 v1, s5
   10 |   3 | :x v       | v_mac_legacy_f32 v1, s6, v3
   11 |   3 | ::^        | v_mov_b32 v2, 0xb58637bd
   12 |   3 | :::        | s_mov_b32 s4, 0x3a000008
   13 |   3 | v:x        | v_mac_f32 v2, s4, v0
   14 |   4 | :::^       | v_mov_b32 v3, 0xb60637bd
   15 |   4 | ::::       | s_mov_b32 s4, 0x3a000011
   16 |   4 | :v:x       | v_mac_f32 v3, s4, v1
   17 |   5 | ::::^      | v_mov_b32 v4, 0xb649539c
   18 |   5 | :::::      | s_mov_b32 s4, 0x3a000019
   19 |   5 | v:::x      | v_mac_f32 v4, s4, v0
   20 |   5 | ^::::      | v_mov_b32 v0, 0xb68637bd
   21 |   5 | :::::      | s_mov_b32 s4, 0x3a000022
   22 |   5 | xv:::      | v_mac_f32 v0, s4, v1
   23 |   5 | :^:::      | v_mov_b32 v1, 0x358637bd
   24 |   5 | :::::      | s_mov_b32 s4, 0x3f7ffff0
   25 |   5 | :xv::      | v_mac_f32 v1, s4, v2
   26 |   5 | ::^::      | v_mov_b32 v2, 0x360637bd
   27 |   5 | :::::      | s_mov_b32 s4, 0x3f7fffde
   28 |   5 | ::xv:      | v_mac_f32 v2, s4, v3
   29 |   5 | :::^:      | v_mov_b32 v3, 0x3649539c
   30 |   5 | :::::      | s_mov_b32 s4, 0x3f7fffce
   31 |   5 | :::xv      | v_mac_f32 v3, s4, v4
   32 |   5 | ::::^      | v_mov_b32 v4, 0x368637bd
   33 |   5 | :::::      | s_mov_b32 s4, 0x3f7fffbc
   34 |   5 | v:::x      | v_mac_f32 v4, s4, v0
   35 |   5 | ^v:v:      | v_add_f32 v0, v1, v3
   36 |   4 | :^v v      | v_add_f32 v1, v2, v4
   37 |   3 | ::^        | v_mov_b32 v2, 0
   38 |   4 | :::^       | v_mov_b32 v3, 0
   39 |   4 | ::::       | s_movk_i32 s4, 0x0000
   40 |   4 | ::::       | s_movk_i32 s5, 0x0010
   41 |   4 | ::::       | label_label_003A: s_cmp_gt_u32 s5, 0
   42 |   4 | ::::       | s_cbranch_scc0 label_0FED
   43 |   4 | ::::       | label_basic_block_3: s_lshl_b32 s6, s4, 5
   44 |   4 | ::::       | s_load_dwordx8 s[8:15], s[0:1], s6
   45 |   4 | ::::       | s_lshl_b32 s6, s4, 4
   46 |   4 | ::::       | s_load_dwordx4 s[16:19], s[2:3], s6
   47 |   4 | ::::       | s_add_u32 s4, s4, 1
   48 |   4 | ::::       | s_sub_i32 s5, s5, 1
   49 |   4 | ::::       | s_waitcnt lgkmcnt(0)
   50 |   6 | vvvv^^     | image_sample v[4:5], v[0:3], s[8:15], s[16:19]
   51 |   6 | ::::::     | s_waitcnt vmcnt(0)
   52 |   6 | ::x:v:     | v_add_f32 v2, v2, v4
   53 |   5 | :::x v     | v_add_f32 v3, v3, v5
   54 |   5 | ::::^      | v_mov_b32 v4, 0xb58637bd
   55 |   5 | :::::      | s_mov_b32 s6, 0x3f800008
   56 |   6 | :::::^     | v_mov_b32 v5, 0xb60637bd
   57 |   6 | ::::::     | s_mov_b32 s7, 0x3f800011
   58 |   7 | ::::::^    | v_mov_b32 v6, 0xb649539c
   59 |   7 | :::::::    | s_mov_b32 s8, 0x3f800019
   60 |   8 | :::::::^   | v_mov_b32 v7, 0xb68637bd
   61 |   8 | ::::::::   | s_mov_b32 s9, 0x3f800022
   62 |   8 | ::v:x:::   | v_mac_f32 v4, s6, v2
   63 |   8 | :::v:x::   | v_mac_f32 v5, s7, v3
   64 |   8 | ::v:::x:   | v_mac_f32 v6, s8, v2
   65 |   7 | :: v:::x   | v_mac_f32 v7, s9, v3
   66 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
   67 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
   68 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
   69 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
   70 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
   71 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
   72 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
   73 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
   74 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
   75 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
   76 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
   77 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
   78 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
   79 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
   80 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
   81 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
   82 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
   83 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
   84 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
   85 |  10 | :::::::::: | s_mov_b32 s9, 0x3f800022
   86 |  10 | ::v:x::::: | v_mac_f32 v4, s6, v2
   87 |   9 | :: v:x:::: | v_mac_f32 v5, s7, v3
   88 |   8 | ::  ::x:v: | v_mac_f32 v6, s8, v8
   89 |   7 | ::  :::x v | v_mac_f32 v7, s9, v9
   90 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
   91 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
   92 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
   93 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
   94 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
   95 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
   96 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
   97 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
   98 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
   99 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
  100 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
  101 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
  102 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
  103 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
  104 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
  105 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
  106 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
  107 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
  108 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
  109 |  10 | :::::::::: | s_mov_b32 s9, 0x3f800022
  110 |  10 | ::v:x::::: | v_mac_f32 v4, s6, v2
  111 |   9 | :: v:x:::: | v_mac_f32 v5, s7, v3
  112 |   8 | ::  ::x:v: | v_mac_f32 v6, s8, v8
  113 |   7 | ::  :::x v | v_mac_f32 v7, s9, v9
  114 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
  115 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
  116 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
  117 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
  118 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
  119 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
  120 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
  121 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
  122 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
  123 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
  124 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
  125 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
  126 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
  127 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
  128 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
  129 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
  130 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
  131 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
  132 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
  133 |  10 | :::::::::: | s_mov_b32 s9, 0x3f800022
  134 |  10 | ::v:x::::: | v_mac_f32 v4, s6, v2
  135 |   9 | :: v:x:::: | v_mac_f32 v5, s7, v3
  136 |   8 | ::  ::x:v: | v_mac_f32 v6, s8, v8
  137 |   7 | ::  :::x v | v_mac_f32 v7, s9, v9
  138 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
  139 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
  140 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
  141 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
  142 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
  143 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
  144 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
  145 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
  146 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
  147 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
  148 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
  149 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
  150 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
  151 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
  152 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
  153 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
  154 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
  155 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
  156 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
  157 |  10 | :::::::::: | s_mov_b32 s9, 0x3f800022
  158 |  10 | ::v:x::::: | v_mac_f32 v4, s6, v2
  159 |   9 | :: v:x:::: | v_mac_f32 v5, s7, v3
  160 |   8 | ::  ::x:v: | v_mac_f32 v6, s8, v8
  161 |   7 | ::  :::x v | v_mac_f32 v7, s9, v9
  162 |   7 | ::^ ::::   | v_mov_b32 v2, 0x358637bd
  163 |   7 | ::: ::::   | s_mov_b32 s6, 0x3f7ffff0
  164 |   8 | :::^::::   | v_mov_b32 v3, 0x360637bd
  165 |   8 | ::::::::   | s_mov_b32 s7, 0x3f7fffde
  166 |   9 | ::::::::^  | v_mov_b32 v8, 0x3649539c
  167 |   9 | :::::::::  | s_mov_b32 s8, 0x3f7fffce
  168 |  10 | :::::::::^ | v_mov_b32 v9, 0x368637bd
  169 |  10 | :::::::::: | s_mov_b32 s9, 0x3f7fffbc
  170 |  10 | ::x:v::::: | v_mac_f32 v2, s6, v4
  171 |   9 | :::x v:::: | v_mac_f32 v3, s7, v5
  172 |   8 | ::::  v:x: | v_mac_f32 v8, s8, v6
  173 |   7 | ::::   v:x | v_mac_f32 v9, s9, v7
  174 |   7 | ::::^   :: | v_mov_b32 v4, 0xb58637bd
  175 |   7 | :::::   :: | s_mov_b32 s6, 0x3f800008
  176 |   8 | :::::^  :: | v_mov_b32 v5, 0xb60637bd
  177 |   8 | ::::::  :: | s_mov_b32 s7, 0x3f800011
  178 |   9 | ::::::^ :: | v_mov_b32 v6, 0xb649539c
  179 |   9 | ::::::: :: | s_mov_b32 s8, 0x3f800019
  180 |  10 | :::::::^:: | v_mov_b32 v7, 0xb68637bd
